mii_name,body_height,body_weight,gender,eye_type,eye_color,eye_size,eye_rotation,eye_horizontal,eye_vertical,eyebrow_type,eyebrow_color,nose_type,nose_size,mouth_type,mouth_color,hair_type,hair_color,face_type,face_color,mole_enable,mole_horizontal,mole_vertical,mole_size,glasses_type,favorite_color,dataset
䕣穁兓扐䭰䴸䅑穁硇䅎,71,69,1,49,4,0,3,10,0,1,2,8,11,7,1,81,2,0,2,1,2,12,3,5,12,nnid
㝏睦癹汕湌䩵䅑楁硖䅂,71,48,1,44,5,0,8,10,4,1,2,6,10,1,5,103,2,0,2,0,26,24,3,1,12,nnid
䙺婑稴㙎ㅉ灊䅧䅁則䵌,73,69,1,3,5,6,1,10,0,1,2,6,10,1,5,106,2,11,3,1,10,16,0,1,12,nnid
㌶呭楢扵䱫八䅑扁䩅䅵,71,107,1,54,5,0,1,10,0,1,2,1,10,1,5,119,2,0,2,0,10,14,4,1,10,nnid
呏ㅔ祮椷㕲搷䅷䝁汆䅪,71,103,1,49,4,0,7,10,27,1,2,1,10,1,5,65,2,0,2,0,2,14,4,1,10,nnid
䠷偔㍳㡱㡇灙䅑扁䉫䵦,69,56,1,1,5,0,5,10,2,1,2,6,10,1,5,106,1,11,3,1,18,16,2,1,12,nnid
偏䉑䐰䈰杹稵䅧䅁䉗䅹,71,56,0,1,5,0,1,10,0,1,2,1,10,1,5,65,1,0,2,0,2,14,4,1,11,nnid
摴儴杸敱洵䑁䅑慁橕䵓,79,48,1,1,5,0,5,10,2,1,2,6,10,1,5,65,1,11,3,1,10,19,2,1,12,nnid
琸獰椷扵扪䩥䅑䅁硇䅴,71,107,1,1,5,0,1,10,0,1,2,1,10,1,5,81,1,0,2,0,26,26,2,1,10,nnid
剴杉睃睑牡㕂䅧獁䈰䵔,71,103,1,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,0,10,14,4,1,10,nnid
䙡畚䅵晍楺啰䅧穁㕇䅎,67,52,1,1,5,0,1,10,0,1,2,1,10,1,5,119,1,0,2,0,2,13,2,1,10,nnid
卩䵃䅧㕯坔慭䅧㑁串䅷,71,69,1,51,5,0,7,10,2,1,2,6,10,1,5,81,2,0,2,1,2,13,3,1,12,nnid
䨸椴䡋獸穹伵䅧䑁䩕䅳,71,107,1,40,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,1,18,16,2,1,12,nnid
樵ㅕ祈椷剶佐䅑呁栰䅔,71,85,1,52,5,0,7,10,2,1,2,1,10,1,5,65,2,0,2,0,10,13,2,1,11,nnid
卭獯䑕楓歯䭚䅁䙁摬䅋,71,69,0,1,5,0,1,10,0,1,2,1,10,1,5,81,1,0,2,1,18,16,2,1,11,nnid
獍㍳䤱搶䴫歑䅷硁䩅䅈,71,56,1,25,5,0,7,10,21,1,2,25,10,7,5,65,2,0,2,1,18,16,2,1,12,nnid
㑅佘慑ぐ倫浯䅷橁乁䅄,71,103,1,48,5,0,8,10,6,1,2,1,10,1,5,103,2,0,2,0,2,14,4,1,12,nnid
畮浪䑫楓䵯礳䅑ㅁ㕇䅚,71,69,1,48,5,0,7,2,26,1,2,1,10,1,5,103,2,0,2,1,18,16,2,1,11,nnid
䡌匫托㥑晐ざ䅁祁䉗䵖,71,111,1,15,5,0,5,10,2,1,2,6,10,1,5,65,2,11,3,1,10,22,1,1,12,nnid
つ收呱㑁䡢㑁䅁䕁䩅䅔,71,107,1,54,5,0,7,2,26,1,2,1,10,1,5,81,2,0,2,0,10,14,4,1,10,nnid
桷㙇楚㘲獤捣䅑䅁䉕䅏,71,56,0,57,5,0,1,10,0,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,11,nnid
剔扅桎㥲晹⭄䅑䅁剆䅂,72,73,0,44,5,0,7,2,26,1,2,26,10,1,5,81,2,0,2,1,10,20,3,1,10,nnid
汵⽨卺䱶䭇潕䅑䅁䉅䅲,71,85,1,48,5,0,7,10,2,1,2,1,10,1,5,65,2,0,2,1,10,16,2,1,12,nnid
睲卒楚㘲䅑䅲䅁䅁䉕䅪,72,89,0,39,5,0,7,2,24,1,2,7,11,7,5,81,1,0,2,1,18,16,2,5,11,nnid
汈睉穰乭佣䉚䅷䱁摆䵒,69,81,0,1,5,0,1,10,0,1,2,1,10,1,5,65,1,11,3,0,26,28,2,1,11,nnid
㘷㝰穊乭⭥瘵䅁流㥇䵹,72,77,1,1,5,0,1,10,0,1,2,1,10,1,5,84,1,11,3,1,18,16,2,1,10,nnid
爴汉晳倴ぺ啌䅑䅁䉕䅆,71,119,1,48,5,0,7,2,26,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,12,nnid
奔桕穳娷䍚祺䅑摁䙅䅂,72,81,1,48,5,0,7,10,27,1,2,1,10,1,5,65,2,0,2,1,2,27,3,1,11,nnid
㜷㑈杒敱猳煴䅧硁䉅䅍,72,85,1,40,5,0,1,10,0,1,2,6,10,1,5,119,2,0,2,1,2,13,1,1,12,nnid
䌵䈱楬漹䵺晘䅑䅁剆䅂,72,89,0,51,5,0,7,2,28,1,2,12,11,8,5,81,2,0,2,1,10,17,1,1,10,nnid
癓㉐呱㑁畗偲䅁慁䉅䅔,71,77,0,48,4,0,8,10,8,1,2,1,10,1,5,119,2,0,2,0,10,14,3,1,10,nnid
卒硪楲扵潧煅䅷呁ㅫ䅆,72,73,0,48,5,0,7,2,26,1,2,1,10,1,5,119,2,0,2,1,2,30,2,1,11,nnid
橁業睃睑噘䝹䅧䥁䈰䅴,71,69,0,54,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,0,2,14,4,1,11,nnid
佳条䑕䈰刳啘䅧呁摆䴫,69,89,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,11,3,1,10,19,1,1,10,nnid
㘯由穰乭⽦䙮䅑硁ㅖ䵌,72,115,1,2,5,7,23,11,0,1,2,21,11,7,5,65,1,11,3,0,2,13,2,1,10,nnid
㥋㐰灢圸㝧奱䅧䅁䉅䅱,71,56,1,39,5,0,7,10,23,1,2,12,11,1,5,81,1,0,2,0,26,26,2,1,12,nnid
伵坚睩睑䝤䠲䅧摁婆䴶,69,81,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,11,3,0,10,16,1,1,10,nnid
⽫批睹睑㕘䍷䅷牁噆䅕,67,65,1,51,4,0,7,10,10,1,2,16,9,1,5,119,2,0,2,1,26,24,3,1,10,nnid
䩙杫别穴⽳敘䅁楁㥭䅆,72,73,1,42,5,0,7,10,25,1,2,6,10,1,5,81,2,0,2,0,18,16,4,1,12,nnid
䄸稯佖漶硁塆䅁䅁䉆䅔,72,81,1,50,4,0,7,10,10,1,2,6,10,1,5,81,2,0,2,0,2,25,3,1,12,nnid
焳㡲摶䥔⭵卌䅷ㅁㅅ䅨,72,73,1,58,5,0,1,10,0,1,2,6,10,1,5,81,2,0,2,1,18,16,2,1,12,nnid
㍌䭕楲扵杵摐䅁杁䨲䅩,71,56,1,1,5,0,1,10,0,1,2,1,10,1,5,103,1,0,2,1,2,25,3,1,11,nnid
㘸㥣噮㡯䥈吱䅷牁瑇䅋,71,69,1,40,5,0,7,2,26,1,2,6,10,1,5,103,2,0,2,0,10,22,4,1,12,nnid
歗⭰杂敱䰲伯䅁啁氰䵹,71,111,1,1,5,0,10,10,6,23,3,1,10,1,5,106,1,11,3,1,18,18,3,1,11,nnid
䴸䍑敥䩁㑘捯䅑䵁桖䅮,71,56,1,54,5,0,1,10,0,1,2,6,10,1,5,119,2,0,2,1,10,19,2,1,12,nnid
剹䜲楌扵晵䙩䅑㝁噅䅏,71,69,0,44,5,0,1,10,0,1,2,1,10,1,5,65,2,0,2,1,18,16,2,1,11,nnid
体楃根㥲卹䴷䅑祁硗䅔,72,85,1,52,5,0,5,10,19,1,2,12,11,3,5,103,1,0,2,0,26,28,2,1,11,nnid
奪䡯睃睑㡥獳䅧ぁ敆䵋,73,99,1,38,5,6,1,10,0,1,2,1,10,1,5,106,2,11,3,0,2,27,2,1,10,nnid
歮瑙䑫䈰卺䵏䅁㝁串䅪,71,85,1,44,5,0,1,10,0,1,2,22,9,7,1,119,2,0,2,0,26,28,2,12,10,nnid
坔煌祮椷䉫稳䅧煁婬䵉,73,107,1,6,5,6,1,10,0,1,2,1,10,1,5,122,2,11,3,0,26,25,3,1,11,nnid
晙㝍噎杣楋䅪䅧乁刱䄫,69,69,1,41,5,0,7,10,2,1,2,12,11,8,1,65,2,0,2,0,10,21,3,1,12,nnid
䅡䥥㉓䙬硎楌䅁䩁偫䅦,70,85,1,16,5,0,6,3,28,1,2,6,2,49,5,81,5,1,2,1,2,30,2,1,12,nnid
㉳楃卪䱶獏塰䅧煁瀰䅨,72,77,1,51,5,0,7,10,10,1,2,1,10,1,5,65,2,0,2,1,26,24,2,1,10,nnid
慒杔昴婮灃湙䅷㑁剬䅷,71,85,1,48,5,0,8,10,8,1,2,19,11,7,1,65,2,0,2,0,26,26,2,7,12,nnid
瑨朸兪癶浔奉䅑ぁ乫䅴,71,85,1,48,5,0,7,2,28,1,2,1,10,1,5,103,2,0,2,0,10,14,4,1,11,nnid
獳歒卺䱶扈㕅䅑啁㑆䅪,69,48,1,46,5,0,8,10,10,1,2,19,11,1,5,81,2,0,2,1,18,17,3,1,12,nnid
桧氰䙋浒戰歋䅑㑁㕭䅚,71,69,1,3,5,0,7,2,28,1,2,16,11,7,5,65,2,0,2,0,2,30,3,1,12,nnid
偳䈳穯㙎塂呎䅑汁啫䅸,68,65,1,1,5,0,5,10,2,1,2,6,10,1,5,103,1,0,2,1,10,19,3,1,12,nnid
杸獫䑕䈰⼵扺䅁橁噂䅅,72,73,1,51,4,0,1,10,0,1,2,6,10,1,5,81,2,0,2,1,2,30,3,1,12,nnid
歶㉂䐰䈰挳呃䅷䱁乫䅈,69,56,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,0,2,0,2,13,2,1,10,nnid
戴䥬剋䠳歭㠹䅧乁桬䅅,71,69,1,48,5,0,7,10,10,1,2,1,10,1,5,103,2,0,2,1,2,25,3,1,12,nnid
䡺礸卺䱶硊⭎䅑ㅁ瑅䅎,72,85,1,40,5,0,1,10,0,1,2,6,10,1,5,119,2,0,2,1,18,16,2,1,12,nnid
䡅䡔㝃䩬䭙牨䅷ㅁ䉫䅺,71,115,1,51,5,0,7,10,2,1,2,11,11,7,5,81,2,0,2,1,18,16,2,1,12,nnid
䠴䍃南砱㡶捗䅷桁汬䅂,71,119,1,52,4,0,1,10,0,1,2,1,10,1,5,81,2,0,2,0,26,28,2,1,11,nnid
摆奉杺桇㠹䩦䅷䅁䉕䄵,71,56,1,53,4,0,7,2,28,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,12,nnid
硊㥐硭卸䱉㤰䅁䅁䉅䅕,71,56,1,53,4,0,1,10,0,1,2,6,10,1,5,103,2,0,2,0,10,14,2,1,12,nnid
㥋穋瘫ㅢ㑳䭱䅧歁乫䅃,72,73,1,53,5,0,7,10,8,1,2,21,11,1,5,81,2,0,2,0,2,13,4,1,12,nnid
歮楡䐰䈰䈰摆䅷桁婆䵘,70,119,1,54,5,6,5,10,25,23,3,1,10,1,5,122,2,11,3,1,18,16,2,1,10,nnid
噏杨䅥晍兹癍䅷䅁䉕䅓,71,85,0,44,5,0,7,10,10,1,2,1,10,1,5,103,2,0,2,0,10,17,3,1,11,nnid
穤䝤吶㑁此䝲䅁捁婖䅬,72,99,1,48,4,0,8,10,6,1,2,21,9,7,5,81,2,0,2,1,10,18,3,12,10,nnid
湡䌱䐰䈰䐷楦䅷䭁䩗䅍,71,56,1,1,5,0,7,2,28,1,2,1,10,1,5,81,1,0,2,0,10,17,3,1,11,nnid
灲佸卺䱶畄啡䅧䑁䩅䅅,71,69,0,48,5,0,7,10,8,1,2,1,10,1,5,103,2,0,2,0,2,14,4,1,10,nnid
稱橍睹睑穡歘䅧䅁瀱䅃,72,73,0,1,5,0,1,10,0,1,2,1,10,1,5,81,1,0,2,0,18,22,3,1,11,nnid
⽚瀲畦ㅪ扨䉖䅑䅁䉅䅫,71,69,1,48,5,0,7,10,10,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,12,nnid
䥮堲稸娷䡦瑘䅁䅁䉇䅱,71,56,1,47,5,0,7,10,21,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,11,nnid
䱵塐佫前ぎ楶䅷橁久䅳,72,85,1,40,5,0,7,2,26,1,2,21,9,1,5,119,2,0,2,0,26,28,3,1,12,nnid
䕱煰㤴潱䐯䙏䅁允瑸䅲,71,69,1,44,5,0,7,2,26,1,2,12,11,1,5,65,2,0,2,0,2,14,4,1,12,nnid
㡲穩卪䱶汐䡪䅁杁㠱䵏,69,69,0,40,5,0,7,2,26,1,2,2,10,55,1,81,2,0,2,1,26,28,1,1,10,nnid
歗畒䐰楓畩㐹䅑䩁䩇䅔,71,107,0,20,5,0,7,10,6,1,2,22,11,8,5,103,2,0,2,0,10,22,3,8,11,nnid
㝶祄䑕䈰㘲䡕䅧㕁椱䵇,69,89,0,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,1,10,19,1,1,10,nnid
㉤䭦䅏晍浹畘䅁潁䘰䅨,71,119,1,53,4,0,7,10,2,1,2,26,11,3,5,81,2,0,2,0,2,14,4,4,10,nnid
倷兕楌扵㑰癡䅁穁䩬䵹,73,48,0,1,5,0,1,10,0,1,2,1,10,1,5,65,1,11,3,1,26,28,0,1,10,nnid
元慪挶獌㑢ぃ䅧䅁䉁䅃,71,56,1,43,5,0,7,2,28,1,2,12,11,1,5,103,2,0,2,1,18,16,2,1,12,nnid
稶䡤楌扵瑪ㅖ䅧硁㥭䅈,71,103,0,58,5,0,8,10,8,1,2,25,11,7,5,119,2,0,2,0,2,14,4,1,10,nnid
圷摳䅡浚祚杗䅁䩁䉭䅐,71,81,1,44,5,0,1,10,0,1,2,6,10,1,5,81,2,0,2,1,26,27,3,1,12,nnid
㡮䔸睃睑癡桘䅑ぁ久䅨,71,52,0,44,5,0,7,10,27,1,2,1,10,1,5,119,2,0,2,0,2,13,2,1,10,nnid
㘷䭸杨敱⼲䡇䅑慁ㄲ䄴,67,48,1,40,5,0,8,10,0,1,2,21,9,3,1,65,2,0,2,1,10,19,2,1,10,nnid
䥌煶楢扵㑱時䅧祁硭䄵,71,56,0,48,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,0,2,12,3,1,11,nnid
䔶乊昸㙤䉸䉣䅑捁框䅱,72,85,1,44,5,0,8,10,6,1,2,6,10,1,5,65,2,0,2,0,2,14,3,1,12,nnid
獐㈳獥扶橨㡗䅧䅁穅䵐,75,81,1,33,5,6,13,10,6,23,3,1,10,1,5,84,4,11,3,0,2,29,3,10,12,nnid
单䕮積娷噓䝷䅷䅁䍅䵉,69,89,1,1,5,0,1,10,0,1,2,1,10,1,5,68,1,11,3,1,18,16,2,1,11,nnid
䡡㡡稸娷兓ぃ䅧祁坬䴰,75,48,1,49,5,6,1,10,0,1,2,1,10,1,5,106,4,11,3,0,2,29,3,1,11,nnid
其煘畑杣楊圱䅑䅁硁䵤,65,65,1,15,5,0,5,10,2,1,2,6,10,1,5,65,2,0,2,1,18,16,2,1,12,nnid
丫䝮睓睑㉘普䅷䅁硇䅋,71,69,1,44,5,0,1,10,0,1,2,1,10,1,5,119,2,0,2,0,10,19,4,1,10,nnid
䑴㡉卺䱶㡐䠱䅧䅁䍅䵊,80,119,0,20,5,6,1,10,0,1,2,11,10,9,5,84,3,11,3,1,26,24,3,1,10,nnid
浘䄲穚乭㉣㡙䅷慁㥭䅫,71,69,1,53,5,0,8,10,21,1,2,1,10,8,5,103,2,0,2,1,10,21,2,1,11,nnid
祱睧䅵晍儫睢䅑扁硭䅮,71,69,1,54,5,0,8,10,4,1,2,19,11,7,5,81,2,0,2,1,10,16,2,12,11,nnid
䍪㙄扩煘㡃浤䅧䅁䉕䴷,70,56,1,20,5,6,1,10,0,1,2,6,10,1,5,122,3,11,3,1,18,16,2,1,12,nnid
剌㥪穙㙎奎匯䅧䭁乬䅂,71,81,1,52,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,1,2,28,2,1,11,nnid
乴牸睹睑潡䬴䅑噁䉇䅭,72,85,1,48,5,0,8,10,17,1,2,25,11,7,5,103,2,0,2,1,26,29,2,1,10,nnid
摌㥹積娷剔內䅷乁䩅䅫,71,69,0,48,5,0,7,10,8,1,2,19,11,7,1,103,2,0,2,1,2,29,3,0,11,nnid
䱂慆㐴噃䵳䄱䅁䅁硂䅅,71,85,1,46,5,0,6,10,19,1,2,1,10,1,5,103,2,0,2,0,10,13,3,1,12,nnid
䑴㡎卺䱶㙌牔䅧摁ㅭ䵔,71,77,1,4,5,6,10,10,6,23,3,1,10,1,5,122,3,11,3,0,10,14,4,1,10,nnid
晱倶䥏杖噒橣䅧䅁䉅䅓,71,56,1,1,5,0,5,10,2,1,2,6,10,1,5,103,1,0,2,1,18,16,2,1,12,nnid
䕑桧稸娷瑔圹䅁杁䩭䅇,71,107,1,54,5,0,8,10,10,1,2,1,10,1,5,103,2,0,2,0,10,22,3,1,11,nnid
䄳䅸䐰䈰栲㕈䅑流䉅䅏,71,107,0,50,5,0,1,10,0,1,2,1,10,1,5,119,2,0,2,1,2,30,2,1,10,nnid
潈㕮朳楙㥱坕䅷ぁ歭䅹,69,77,1,40,5,0,7,10,21,1,2,22,9,1,5,65,2,0,2,1,10,19,3,1,12,nnid
汣䬱穣娷晣ㄴ䅧剁㥖䅫,71,69,1,48,5,0,7,2,26,1,2,1,10,1,5,65,2,0,2,0,2,14,4,1,11,nnid
电水楲扵獱硇䅁䅁䑅䵳,75,81,0,58,5,6,1,10,0,1,2,1,10,1,5,68,4,11,3,1,18,16,2,1,11,nnid
捋浏穳娷穤瘫䅷乁䩆䵔,69,89,1,4,5,6,10,10,6,23,3,1,10,1,5,84,3,11,3,1,10,19,2,1,11,nnid
⭣橸䑅楓啯祥䅧䅁䉅䅹,72,107,1,53,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,11,nnid
捰⽫兺癶㍣䝎䅧䅁䉅䅩,72,73,0,53,5,0,7,2,26,1,2,21,11,7,5,81,2,0,2,1,18,16,2,1,11,nnid
㤷佦楢扵穪䡒䅧穁瑬䅃,72,85,0,41,5,0,7,10,2,1,2,1,10,1,5,103,2,0,2,0,18,22,3,1,10,nnid
敉⬵䡊䭵䍍济䅁䅁䉕䅴,71,56,1,39,5,0,7,10,2,1,2,14,11,7,5,81,1,0,2,1,18,16,0,5,12,nnid
䑹䵷婓獍䐹慵䅷䅁框䅰,72,89,1,53,5,0,1,10,0,1,2,6,10,1,5,81,2,0,2,0,10,14,3,1,12,nnid
瑤充礸䅥㥏㝳䅁䅁剆䅺,72,107,1,42,5,0,6,10,2,5,2,24,1,4,5,103,2,0,2,1,10,16,0,9,10,nnid
䅌洳睩睑噘噉䅷煁摬䅋,72,85,0,53,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,0,18,22,3,1,11,nnid
㉤儰睓睑㍗䥦䅧灁汫䴯,71,77,0,4,5,6,10,10,6,23,3,1,10,1,5,84,3,11,3,0,10,21,1,1,10,nnid
晧捤煁伷瘹䉸䅧㕁ㅭ䅏,71,69,1,1,5,0,5,10,2,1,2,6,10,1,5,103,1,0,2,1,2,14,3,1,12,nnid
東协䑫䈰䜷坫䅷䕁灆䵃,69,111,1,1,5,0,16,10,27,23,3,1,10,1,5,68,1,11,3,0,10,19,3,1,10,nnid
瑕䭬穣娷兘噶䅑穁橭䵚,79,115,0,51,5,6,1,10,0,1,2,22,9,5,5,68,3,11,3,0,18,19,3,1,10,nnid
坡噬呋㑁䡡灙䅑䥁砲䅺,71,69,0,57,5,0,7,10,21,1,2,8,11,1,5,103,2,0,2,1,10,19,2,1,10,nnid
夸㔫䡉䈴公祸䅷䅁剆䅴,71,85,1,15,5,0,5,10,2,1,2,6,10,1,5,65,2,0,2,1,18,16,2,1,12,nnid
煎爸穊乭楗捌䅁摁乆䅂,71,81,1,52,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,0,2,14,3,1,11,nnid
剈㘹㈯漹祃䈫䅁楁瑅䵦,69,56,1,20,5,6,1,10,0,1,2,6,10,1,5,106,3,11,3,1,18,22,2,1,12,nnid
湓䡈祘椷佧奈䅧敁䉅䅅,71,85,0,57,5,0,7,2,28,1,2,1,10,1,5,119,2,0,2,0,2,13,2,1,11,nnid
呗搳祳䅥婐礫䅷呁㥖䅎,71,69,0,48,5,0,8,10,6,1,2,21,11,1,5,65,2,0,2,0,2,13,2,1,10,nnid
䤹关南砱瑶漴䅑䅁框䵖,71,103,1,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,1,18,16,2,1,11,nnid
噷す穯㙎睃瑱䅁䕁⬲䅷,72,52,1,57,5,6,6,10,8,23,3,17,11,16,5,84,3,0,2,1,10,16,0,7,12,nnid
䝇嘱灔䡅䈵呢䅧橁搱䅔,71,107,1,50,5,0,7,10,10,1,2,6,10,1,5,65,2,0,2,0,10,13,3,1,12,nnid
⽤湹桎㥲晹硕䅑䅁硅䅳,71,56,1,40,5,0,7,2,26,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,10,nnid
㝺呢㔫㉣甯晄䅧䅁䉅䅷,71,85,1,48,5,0,8,10,8,1,2,1,10,1,5,65,2,0,2,1,18,16,2,1,12,nnid
獰穚礳椷硬剱䅁䅁䉅䅪,71,48,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,0,2,1,18,16,2,1,11,nnid
礶婷䩓湭㡥搹䅷敁ㅖ䅌,71,69,1,40,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,1,18,16,2,1,12,nnid
摘畎䉍歂佺⭨䅧䅁䉖䵔,72,52,1,49,5,6,1,10,0,1,2,6,10,1,5,68,2,11,3,1,18,16,2,1,12,nnid
則䑘㙁橬港䡣䅑䱁噬䅇,74,65,1,6,1,5,11,11,8,1,2,15,1,5,5,103,5,2,2,0,2,29,3,1,12,nnid
䑡㍣眱琰乹䅄䅁䅁睁䅷,68,69,1,15,5,0,5,10,2,1,2,6,10,1,5,65,2,0,2,1,18,16,2,1,12,nnid
㉳㐶卪䱶坈場䅑䅁䉕䅎,71,56,1,52,5,0,8,10,21,1,2,6,10,1,5,81,2,0,2,1,26,28,1,1,12,nnid
䵕䑅稸娷癖噙䅁䅁硇䵅,71,77,1,4,5,6,10,10,6,23,3,1,10,1,5,84,3,11,3,0,2,14,4,1,10,nnid
慐䕶偌⽏穨摙䅑流㕖䅩,72,73,1,54,5,0,7,10,25,1,2,15,11,7,5,119,2,0,2,1,10,14,2,0,12,nnid
㙑捃稵乭癦䡢䅑䙁婅䅅,71,56,0,44,5,0,8,10,4,1,2,17,9,4,5,103,2,0,2,1,10,21,2,1,11,nnid
㑅扴穰乭獤乨䅷䅁䍅䵌,69,81,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,11,3,1,10,20,0,1,11,nnid
䵴漵䄸㔸啥ㅩ䅁杁乫䵶,72,73,1,54,5,6,9,10,8,23,3,8,10,6,5,81,2,11,3,0,10,18,3,3,12,nnid
晚娱歘桹戰桚䅷䍁䨲䅍,71,56,1,44,5,0,7,10,27,1,2,11,11,7,5,103,2,0,2,0,10,14,4,0,12,nnid
乍⼱䅵晍䘫敵䅁乁灇䅨,71,52,0,44,5,0,7,10,27,1,2,23,11,7,5,119,2,0,2,1,10,21,2,8,10,nnid
扎乢兑ㅄ㙫末䅷噁ㅅ䅃,72,73,1,53,4,0,7,10,2,1,2,7,11,8,5,81,2,0,2,1,18,16,0,6,10,nnid
祤䭰椷扵啫琹䅷奁㥭䅉,71,85,1,48,4,0,7,2,28,1,2,1,10,7,5,119,2,0,2,1,18,16,0,1,11,nnid
歂䩳穚乭潥啢䅁䑁䩫䅂,71,52,0,53,4,0,1,10,0,1,2,1,10,1,5,65,2,0,2,1,10,14,2,1,11,nnid
慈⭈䑣倰漫䤱䅧灁瀱䅹,71,56,1,44,5,0,3,10,0,1,2,22,11,7,5,119,2,0,2,1,18,16,2,1,12,nnid
穎橁穚乭䅤娴䅑佁䩗䅎,71,85,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,0,2,1,10,16,2,1,11,nnid
㝂橋䐰䈰䄫畵䅷䱁婬䅊,72,77,0,40,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,1,18,16,2,1,11,nnid
䕔㍅根㥲䩹灲䅷䕁ㅇ䅩,71,69,0,51,5,0,7,2,28,1,2,22,11,1,5,65,2,0,2,0,2,14,4,1,10,nnid
䉤潌䅹塅伵⭙䅷十㕇䅋,71,69,1,44,5,0,1,10,0,1,2,6,10,1,5,119,2,0,2,1,10,16,2,1,12,nnid
乎㕐扸㉹婏呎䅧䅁楆䵅,71,77,1,56,4,6,1,10,0,1,2,20,10,9,5,84,4,11,3,1,26,26,2,1,12,nnid
㑳䭲䑅䈰䐱卒䅧䱁琱䅐,71,48,0,46,5,0,7,10,2,1,2,1,10,1,5,81,2,0,2,0,2,14,3,1,10,nnid
㠫㍭楌扵桧⽥䅑䅁䉅䅅,71,69,1,48,5,0,7,10,10,1,2,1,10,1,5,81,2,0,2,0,18,19,3,1,10,nnid
䵉ㅌ穹嘯㍩䭅䅧摁ㅖ䅋,70,85,1,15,5,0,5,10,21,1,2,6,10,1,5,81,2,0,2,1,2,14,3,1,12,nnid
挶䴹婗倵汙⽐䅁十䩅䵌,70,103,1,15,5,0,5,10,2,1,2,6,10,1,5,65,2,11,3,1,18,16,2,1,12,nnid
捲制協䱶䭇䑚䅧瑁瑬䅂,71,52,1,53,4,0,1,10,0,1,2,6,10,1,5,65,2,0,2,0,26,28,2,1,12,nnid
⭡椯積娷䭒䡪䅷䅁剆䅨,71,52,1,57,5,0,7,10,10,1,2,16,11,1,5,65,2,0,2,1,18,21,2,1,11,nnid
牋䑚穊乭剗䩱䅧ぁ䙭䅄,71,69,0,51,5,0,7,10,21,1,2,1,10,1,5,81,2,0,2,0,2,12,3,1,11,nnid
坷婴卄䱶䭎䑇䅷硁桬䅓,71,85,1,53,5,0,7,10,2,1,2,11,11,7,1,81,2,0,2,1,18,16,2,1,12,nnid
剎㍷穣娷敥眶䅁䅁䉕䵔,71,103,0,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,1,18,16,2,1,11,nnid
㥚稳瑂敕奺搸䅧䅁䉕䵭,71,99,1,13,5,6,7,10,23,23,3,8,11,3,5,84,3,11,3,1,18,16,2,1,12,nnid
㜷䅔偸ぁ䑢㔰䅑橁㔱䅇,71,69,1,40,5,0,7,10,19,1,2,6,10,1,5,81,2,0,2,1,2,30,0,1,12,nnid
呪䱏䅵晍乺椸䅑扁剅䅈,71,69,1,57,5,0,7,10,21,1,2,1,10,1,5,103,2,0,2,1,26,27,2,1,10,nnid
䙗煆楰㘲㑘䉤䅧噁䩅䅕,71,56,0,1,5,0,1,10,0,1,2,1,10,1,5,81,1,0,2,0,2,14,1,1,11,nnid
㕳瑴穙㙎癃䕨䅑ㅁ栲䵖,71,103,1,12,5,6,1,10,4,23,3,12,10,1,5,106,3,11,3,0,10,16,1,7,12,nnid
䴴晔穚乭硣卢䅑ㅁ䩆䵱,69,115,1,16,5,6,1,10,0,1,2,1,10,1,5,68,3,11,3,0,26,27,1,1,10,nnid
䨸晕偯欰䝍潦䅷䅁䉅䵨,71,69,1,15,5,0,5,10,2,1,2,6,10,1,5,65,2,11,3,1,18,16,2,1,12,nnid
兴低桤㥲慹党䅷䅁䉕䄱,65,65,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,0,2,1,18,16,2,1,10,nnid
